FileId,ImageName,ReviewFlag
USA_00199-0003_1_0-00000_f00_p000.jpg,USA_00199-0003_1_0-00000_f00_p000.jpg,No
USA_00199-0003_1_1-00000_f01_p000.jpg,USA_00199-0003_1_1-00000_f01_p000.jpg,No
USA_00199-0003_1_2-00000_f02_p000.jpg,USA_00199-0003_1_2-00000_f02_p000.jpg,No
USA_00199-0003_1_3-00000_f03_p000.jpg,USA_00199-0003_1_3-00000_f03_p000.jpg,Yes
USA_00199-0027_1_0-00000_f00_p000.jpg,USA_00199-0027_1_0-00000_f00_p000.jpg,No
USA_00199-0027_1_1-00000_f01_p000.jpg,USA_00199-0027_1_1-00000_f01_p000.jpg,No
USA_00199-0027_1_2-00000_f02_p000.jpg,USA_00199-0027_1_2-00000_f02_p000.jpg,Yes
USA_00199-0027_1_3-00000_f03_p000.jpg,USA_00199-0027_1_3-00000_f03_p000.jpg,No
USA_00199-0027_1_4-00000_f04_p000.jpg,USA_00199-0027_1_4-00000_f04_p000.jpg,No
USA_00199-0032_1_3-00000_f04_p000.jpg,USA_00199-0032_1_3-00000_f04_p000.jpg,Yes
USA_00199-0032_1_4-00000_f05_p000.jpg,USA_00199-0032_1_4-00000_f05_p000.jpg,No
USA_00199-0032_1_5-00000_f06_p000.jpg,USA_00199-0032_1_5-00000_f06_p000.jpg,No
USA_00199-0032_1_6-00000_f07_p000.jpg,USA_00199-0032_1_6-00000_f07_p000.jpg,Yes
USA_00199-0032_1_7-00000_f08_p000.jpg,USA_00199-0032_1_7-00000_f08_p000.jpg,No
USA_00199-0032_1_9-00000_f10_p000.jpg,USA_00199-0032_1_9-00000_f10_p000.jpg,No
USA_00766-0011_1_0-00000_f00_p000.jpg,USA_00766-0011_1_0-00000_f00_p000.jpg,Yes
USA_00766-0011_1_1-00000_f01_p000.jpg,USA_00766-0011_1_1-00000_f01_p000.jpg,No
USA_00766-0021_1_0-00000_f00_p000.jpg,USA_00766-0021_1_0-00000_f00_p000.jpg,No
USA_00766-0021_1_1-00000_f01_p000.jpg,USA_00766-0021_1_1-00000_f01_p000.jpg,Yes
USA_00766-0022_1_0-00000_f00_p000.jpg,USA_00766-0022_1_0-00000_f00_p000.jpg,Yes
USA_00766-0022_1_10-00000_f02_p000.jpg,USA_00766-0022_1_10-00000_f02_p000.jpg,No
USA_00766-0022_1_11-00000_f03_p000.jpg,USA_00766-0022_1_11-00000_f03_p000.jpg,Yes
USA_00766-0022_1_4-00000_f06_p000.jpg,USA_00766-0022_1_4-00000_f06_p000.jpg,Yes
USA_00766-0022_1_5-00000_f07_p000.jpg,USA_00766-0022_1_5-00000_f07_p000.jpg,Yes
USA_00766-0022_2_0-00000_f12_p000.jpg,USA_00766-0022_2_0-00000_f12_p000.jpg,No
USA_00766-0030_1_0-00000_f00_p000.jpg,USA_00766-0030_1_0-00000_f00_p000.jpg,Yes
USA_00766-0030_1_1-00000_f01_p000.jpg,USA_00766-0030_1_1-00000_f01_p000.jpg,Yes
USA_00901-0001_1_0-00000_f00_p000.jpg,USA_00901-0001_1_0-00000_f00_p000.jpg,No
USA_00901-0001_1_15-00000_f07_p000.jpg,USA_00901-0001_1_15-00000_f07_p000.jpg,Yes
USA_00901-0001_1_2-00000_f12_p000.jpg,USA_00901-0001_1_2-00000_f12_p000.jpg,No
USA_00901-0001_1_24-00000_f17_p000.jpg,USA_00901-0001_1_24-00000_f17_p000.jpg,No
USA_00901-0001_1_25-00000_f18_p000.jpg,USA_00901-0001_1_25-00000_f18_p000.jpg,Yes
USA_00901-0001_1_35-00000_f29_p000.jpg,USA_00901-0001_1_35-00000_f29_p000.jpg,No
USA_00901-0001_1_8-00000_f46_p000.jpg,USA_00901-0001_1_8-00000_f46_p000.jpg,No
USA_00970-0001_1_15-00000_f07_p000.jpg,USA_00970-0001_1_15-00000_f07_p000.jpg,Yes
USA_00970-0001_1_19-00000_f11_p000.jpg,USA_00970-0001_1_19-00000_f11_p000.jpg,Yes
USA_00970-0001_1_23-00000_f16_p000.jpg,USA_00970-0001_1_23-00000_f16_p000.jpg,No
USA_00970-0001_1_27-00000_f20_p000.jpg,USA_00970-0001_1_27-00000_f20_p000.jpg,No
USA_00970-0001_1_42-00000_f37_p000.jpg,USA_00970-0001_1_42-00000_f37_p000.jpg,No
USA_00970-0001_1_45-00000_f40_p000.jpg,USA_00970-0001_1_45-00000_f40_p000.jpg,No
USA_00970-0001_1_69-00000_f66_p000.jpg,USA_00970-0001_1_69-00000_f66_p000.jpg,No
USA_00970-0001_1_78-00000_f76_p000.jpg,USA_00970-0001_1_78-00000_f76_p000.jpg,Yes
USA_00970-0001_1_9-00000_f78_p000.jpg,USA_00970-0001_1_9-00000_f78_p000.jpg,Yes
USA_00970-0011_1_0-00000_f00_p000.jpg,USA_00970-0011_1_0-00000_f00_p000.jpg,No
USA_00970-0011_1_12-00000_f04_p000.jpg,USA_00970-0011_1_12-00000_f04_p000.jpg,No
USA_00970-0011_1_17-00000_f09_p000.jpg,USA_00970-0011_1_17-00000_f09_p000.jpg,Yes
USA_00970-0011_1_5-00000_f14_p000.jpg,USA_00970-0011_1_5-00000_f14_p000.jpg,Yes
USA_00970-0011_1_6-00000_f15_p000.jpg,USA_00970-0011_1_6-00000_f15_p000.jpg,Yes
USA_00970-0011_1_7-00000_f16_p000.jpg,USA_00970-0011_1_7-00000_f16_p000.jpg,Yes
USA_00970-0038_1_0-00000_f00_p000.jpg,USA_00970-0038_1_0-00000_f00_p000.jpg,Yes
USA_00970-0038_1_10-00000_f02_p000.jpg,USA_00970-0038_1_10-00000_f02_p000.jpg,No
USA_00970-0038_1_4-00000_f06_p000.jpg,USA_00970-0038_1_4-00000_f06_p000.jpg,Yes
USA_00970-0038_1_5-00000_f07_p000.jpg,USA_00970-0038_1_5-00000_f07_p000.jpg,Yes
USA_00970-0038_1_7-00000_f09_p000.jpg,USA_00970-0038_1_7-00000_f09_p000.jpg,No
USA_00970-0038_1_8-00000_f10_p000.jpg,USA_00970-0038_1_8-00000_f10_p000.jpg,Yes
USA_00970-0049_1_1-00000_f01_p000.jpg,USA_00970-0049_1_1-00000_f01_p000.jpg,No
USA_00970-0049_1_11-00000_f03_p000.jpg,USA_00970-0049_1_11-00000_f03_p000.jpg,No
USA_00970-0049_1_13-00000_f05_p000.jpg,USA_00970-0049_1_13-00000_f05_p000.jpg,Yes
USA_00970-0049_1_14-00000_f06_p000.jpg,USA_00970-0049_1_14-00000_f06_p000.jpg,No
USA_00970-0049_1_7-00000_f12_p000.jpg,USA_00970-0049_1_7-00000_f12_p000.jpg,No
USA_00970-0049_1_8-00000_f13_p000.jpg,USA_00970-0049_1_8-00000_f13_p000.jpg,No
USA_00970-0052_1_1-00000_f01_p000.jpg,USA_00970-0052_1_1-00000_f01_p000.jpg,No
